N_TRA,P7_2,P7_3,P7_4_01,P7_4_02,P7_4_03,P7_4_04,P7_4_05,P7_4_06,P7_4_07,P7_4_08,P7_4_09,P7_4_10,P7_5C_D,P7_5D_H,P7_5D_M,tiempo,P7_6,P7_7,P7_8,P7_9,P7_10,P7_11,P7_12,P7_12A,UPM_DIS,FAC_TRA
13,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,1,2,3,3,1,1,1,0,2,30,150,2,2,1,1,2,NA,2,8,2171,1367
4,23,"Banco, supermercado, tiendas o farmacias",2,2,2,2,2,3,3,2,2,2,0,0,5,5,2,3,1,2,NA,NA,2,9,2537,2573
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,2,2,2,3,2,2,2,2,0,0,30,30,2,2,1,2,NA,NA,2,9,2969,6195
4,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,40,40,1,1,1,2,NA,NA,1,10,3105,2594
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,2,2,2,2,2,0,0,40,40,1,1,1,2,NA,NA,1,10,3105,1297
4,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,2,3,3,3,0,0,5,5,2,NA,1,2,NA,NA,2,9,3179,707
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,2,2,3,3,2,1,2,0,0,20,20,6,6,1,1,1,1,6,1,3179,707
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,1,1,1,3,3,2,2,2,0,7,0,420,6,6,1,1,2,NA,6,1,3179,707
19,48,Líneas de atención telefónica,3,3,3,3,3,1,3,3,3,2,0,1,0,60,4,3,1,1,2,NA,2,9,6018,1796
4,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,1,2,0,1,0,60,2,2,1,2,NA,NA,2,8,6135,2769
5,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,2,1,2,1,3,3,2,1,2,0,2,0,120,2,2,1,2,NA,NA,2,8,6135,5538
21,77,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,2,2,1,2,3,3,2,2,2,0,0,30,30,2,1,1,2,NA,NA,2,9,6135,2769
19,51,Líneas de atención telefónica,3,3,3,3,3,2,3,3,3,3,0,0,2,2,1,1,1,2,NA,NA,1,10,4152,250
9,48,"Internet (página web, aplicaciones de celular, tablet, etcétera.)",3,3,3,3,3,3,1,3,3,3,0,2,0,120,4,NA,1,1,2,NA,2,8,4152,250
7,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",3,3,3,3,3,3,2,3,2,1,0,0,3,3,3,3,1,2,NA,NA,2,8,4171,1204
2,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",1,1,2,1,2,3,3,2,2,1,0,1,0,60,4,3,1,1,2,NA,4,5,4152,2745
5,48,"Instalaciones de gobierno (oficinas, tesorería, hospital, etcétera.)",2,1,2,2,2,3,3,2,2,2,0,1,0,60,2,2,1,2,NA,NA,2,9,4171,401
