Requisito,carga
 Identificación oficial,1
Identificación del Representante Legal o Apoderado Legal,1
CURP,1
RFC,1
CURP o RFC,1
Pasaporte,1
Número de Teléfono,1
Correo Electrónico,1
Cedula de Identificación Fiscal,1
Carnet,1
Acta de Nacimiento,1
Comprobante de domicilio,1
Certificado de estudios,1
Certificado Total de Estudios de la carrera,1
"Ser micro, pequeña o mediana empresa de los sectores",1
Ser persona moral (PM) o personas física,1
Radicar en el Estado de Hidalgo,1
Tener 60 años o más,1
Credencial del Instituto Nacional de las Personas Adultas Mayores (INAPAM). Original. ,1
Licencia de conducir,1
Examen de manejo,1
Tarjeta de migración,1
Certificado Medico,1
Orden medica,1
Titulo profesional,1
Cedula profesional,1
Curriculum,1
Cedula de registro,1
Registro Profesional Estatal,1
Carta protesta,1
Carta compromiso,1
Fotografía ,1
Solicitud / Oficio / Escrito libre,1
Comprobante de Pago,1
Boleta de pago predial y clave catastral,1
Avaluo catastral,1
fotografías actuales del predio,1
Titulo de propiedad,1
Calendario y presupuesto ,1
Tarjeta de circulación,1
Firma Electrónica,1
CFDI,1
Croquis de localización,1
Constancia de capacitación,1
Póliza de seguro ,1
Fotografía de la caratula con la información de la CVV,1
Fotografía de la última hoja de la bitácora,1
Fotografía del ultimo holograma de verificación,1
Factura original,1
Boleto,1
Factura de Motor (en caso de cambio). ,1
Juego de placas metálicas o Acta ante el M.P. por robo o extravío (especificando delantera y/o trasera). ,1
Protesta de decir verdad,1
Enlistar cursos impartidos,1
Ser egresado de Bachillerato Tecnológico o Instituciones de Educación Superior,1
Ser mayor de 18 años y menores de 29 años,1
Haber cubierto el 100% de los créditos que marca el programa educativo de la institución,1
Fianza,1
Comprobante de domicilio del fabricante,1
Tarjeton,1
Estados Financieros originales,1
estados de cuenta bancarios,1
expediente integrado,1
Formato con los datos generales de la Sociedad ,1
 Factura o carta factura anexando copia de la factura de origen.,1
"Factura, Refacturación, Factura Judicial, Título de propiedad o Acta levantada",1
Documento que acredite la legal estancia en el país en caso de ser vehículo de procedencia extranjera.,1
Constancia de cumplimiento de servicio social,2
Acta de examen profesional o constancia de no ser exigible,2
Oficio del juez,2
Constancias de No Infracción,2
Constancia de no afectación,2
Constancia ejidal,2
"Certificado médico, credencial vigente otorgada por el DIF o el CRIH que acredite la discapacidad ",2
contrato ó tabla pagaré,2
Factibilidades,2
Declaración normal y/o complementaria,2
Documento que acredite estar al corriente en el pago del impuesto predial,2
Bitácora de mantenimiento,2
Certificado de holograma,2
"Contrato de Compra-Venta, Cesión de Derechos o Carta Responsiva. ",2
Constancia de posesión,2
Constancia del Órgano Ejidal que acredite que no pertenece a bienes ejidales o comunales,2
Constancia que acredite que el inmueble no pertenece a bienes de dominio público,2
Plano y croquis,2
Certificado de no inscripción,2
Escritura pública del inmueble / contrato de arrendamiento / contrato de comodato,2
Copia de Identificación oficial con fotografía del Vendedor en su caso.,2
Certificado de antiguedad,2
Constancia de viabilidad ,2
Dictamen de impacto urbano y vial,2
Factibilidad de Riesgos,2
Evaluación de impacto ambiental,2
Copia certificada,2
copia auténtica de la denuncia ,2
Documento que acredite la propiedad de los terrenos,2
Georreferenciación del predio o parcela ,2
Licencia de uso de suelo,2
Constancia de uso de suelo,2
Acreditación de la personalidad jurídica,2
Términos de Referencia ,2
Autorización de uso de nombre o razón social,2
Bitácora de control de residuos de manejo especial,2
Información de la “Guía para la elaboración del plan de manejo”,2
Promesa de compraventa o cotización del equipo,2
Manifestación de Impacto Ambiental,2
"Instrumento para acreditar que se haya designado el representante legal para efectos fiscales,",2
Constancia de revalidación de estudios,2
Testimonio notarial,2
Copias auténticas de la carpeta de investigación instaurada ante el Ministerio Público,2
"copia autentica de la carpeta de investigación, reporte de robo, acta correspondiente de robo y/o acta de hechos de transito terrestrC",2
copia simple de acta de recuperación del vehículo,2
reporte de siniestro por la aseguradora,2
Documentos probatorios,2
Copia simple de facturas fiscales ,2
Constancias de taller mecánico,2
Estudio de Impacto en la Movilidad,2
Ficha universal de pago,2
Documentación que acredite la autorización para desarrollar la prestación de los servicios turísticos.,2
Carta constitutiva,2
Formato de revista,2
Oficio de autorización expedido por el Sistema de Transporte Convencional de Hidalgo.,2
"Archivo fotográfico del equipo de que se trate,",2
Carta de visto bueno,2
Receta médica expedida por la institución de salud pública,2
Declaración Provisional o Pago Definitivo de Impuestos Federales,2
Hoja de referencia,2
Documento de baja,2
Presentar la calca o fotografía del VIN impresa. ,2
Solicitud de protocolo de titulación,2
"Formato de Autorizaciones, Certificados y Visitas, debidamente requisitado",2
Certificado de libertad de gravamen,2
Conocer el monto de su base gravable y capturarla,2
Finiquito actualizado,2
Señalar que se trata de registro nuevo,2
Término para aplicar la renovación,2
Documentos que acreditan conocimientos,2
Registro como capacitador,2
Formato del diploma,2
Copia de la Carpeta básica,2
"Acta de Delimitación, Destino y Asignación de Tierras Ejidales",2
Copia del plano donde se ubica el sitio propuesto,2
Copia del acta de asamblea,2
Copia de la escritura pública.,2
Plano del polígono ,2
Escrito de solicitud de prórroga,2
Escrito de solicitud de ampliación de prórroga,2
Archivo fotográfico a color ,2
Documento que acredita la propiedad del vehiculo,2
"Aprobar la visita técnica de verificación o visita de supervisión,",2
Programa de prevención y atención de contingencias,2
Copia certificada o cotejada del contrato o convenio con cada una de las empresas,2
Copia certificada o cotejada en caso de presentar Contrato de Arrendamiento,2
"Licencia ambiental, Permiso y/o Autorización ambiental ",2
Opinión Técnica de Factibilidad en materia de protección civil,2
Plano arquitectonico,2
Plano topográfico con coordenadas,2
Estudio del Informe Preventivo,2
Planos con firma autógrafa del Director Responsable,2
Escrito que avale la nula afectación,2
Programa de rehabilitación ecológica,2
Autorización vigente por parte de la Secretaría de la Defensa Nacional.,2
Acto Impugnado,2
Dictamen Pericial,2
Pruebas documentales,2
Constancia de Notificación del acto impugnado,2
Solicitud de Dictamen,2
Croquis de localización,2
Carta poder,3
Poder Notarial o carta poder,3
Forma migratoria de la Autoridad Competente,3
Proyecto ,3
Anteproyecto arquitectónico,3
memoria descriptiva,3
Ficha técnica del equipo,3
Diagrama de bloque o flujo,3
Toma de huellas por parte del Consulado,3
Oficio del consulado dirigido a la PGJH,3
Curriculum de facturas ,3
"Registro ante el INSABI o su equivalente, IMSS o ISSSTE",3
"Registro patronal en el Instituto Mexicano del Seguro
Social (IMSS)",3
Citatorio y/o Acta de Notificación del Crédito Fiscal,3
Documentación soporte de la garantía del interés fiscal,3
Declaración Anual del Impuesto Sobre la Renta (ISR),3
acta constitutiva y acta de poderes,3
Acta Constitutiva / Escritura,3
Estar inscrito en el Sistema Integral Tributario (e-sit) ,3
Accesar con usuario y con clave de acceso. ,3
Constancia de situación fiscal,3
